"filename", "language", "Markdown", "MS SQL", "C#", "JSON", "Python", "PowerShell", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Archieve\ClassifiedTablesSQL-Server.sql", "MS SQL", 0, 119, 0, 0, 0, 0, 0, 0, 57, 90, 266
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Archieve\archieve_sql.sql", "MS SQL", 0, 499, 0, 0, 0, 0, 0, 0, 198, 143, 840
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Categories\Generate-CategoryDtoMapper.ps1", "PowerShell", 0, 0, 0, 0, 0, 124, 0, 0, 8, 29, 161
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Categories\transform-categories.ps1", "PowerShell", 0, 0, 0, 0, 0, 76, 0, 0, 14, 24, 114
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\gaming_console_example.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 0, 29, 7, 76
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\general_electronic_example.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 4, 5, 44
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\laptop_only_example.json", "JSON", 0, 0, 0, 66, 0, 0, 0, 0, 81, 2, 149
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\pc-build_example.json", "JSON", 0, 0, 0, 55, 0, 0, 0, 0, 52, 2, 109
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\phone_tablet_example.json", "JSON", 0, 0, 0, 62, 0, 0, 0, 0, 123, 2, 187
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Electronics\tv_monitor_example.json", "JSON", 0, 0, 0, 55, 0, 0, 0, 0, 86, 1, 142
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Jobs-Services\cv_example.json", "JSON", 0, 0, 0, 91, 0, 0, 0, 0, 115, 0, 206
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Jobs-Services\service_example.json", "JSON", 0, 0, 0, 96, 0, 0, 0, 0, 66, 0, 162
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Jobs-Services\vacancy_example.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 85, 6, 130
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\book_example.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 29, 0, 75
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\cloth_example.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 0, 58, 0, 105
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\engine-oil_example.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 105, 0, 151
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\furniture_example.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 0, 33, 0, 81
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\plant_example.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 17, 0, 63
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\shoe_example.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 4, 6, 45
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\tire-wheel_example.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 7, 6, 49
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Miscellaneous\video-game_example.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 25, 7, 67
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Real Estate\apartment_example.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 0, 19, 6, 65
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Real Estate\construction-project_example.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 0, 18, 1, 67
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Real Estate\general_real-estate_example.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 3, 5, 42
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Real Estate\house_example.json", "JSON", 0, 0, 0, 52, 0, 0, 0, 0, 30, 2, 84
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\bulldozer_example.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 5, 9, 59
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\bus_example.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 3, 5, 51
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\crane_example.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 6, 5, 57
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\excavator_example.json", "JSON", 0, 0, 0, 55, 0, 0, 0, 0, 4, 1, 60
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment\general_heavy-equipment_example.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 0, 4, 5, 49
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\boat_example.json", "JSON", 0, 0, 0, 51, 0, 0, 0, 0, 8, 3, 62
